"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 12일","145.03","143.51","145.82","140.00","12.23M","1.06%"
"2019년 12월 11일","143.51","145.88","146.57","142.53","10.93M","-1.61%"
"2019년 12월 10일","145.86","147.88","148.48","144.49","11.12M","-1.37%"
"2019년 12월 09일","147.88","151.17","151.75","147.02","9.67M","-2.18%"
"2019년 12월 08일","151.17","148.25","152.22","147.09","9.28M","1.95%"
"2019년 12월 07일","148.28","148.88","149.76","147.54","8.11M","-0.41%"
"2019년 12월 06일","148.89","148.70","149.36","147.01","8.77M","0.13%"
"2019년 12월 05일","148.69","145.79","149.08","144.64","9.99M","1.99%"
"2019년 12월 04일","145.79","147.81","151.02","143.95","12.85M","-1.37%"
"2019년 12월 03일","147.82","148.89","149.84","146.56","8.73M","-0.72%"
"2019년 12월 02일","148.89","151.06","151.63","147.49","9.18M","-1.43%"
"2019년 12월 01일","151.04","151.93","152.33","146.26","9.91M","-0.60%"
"2019년 11월 30일","151.95","154.57","155.19","150.45","8.79M","-1.68%"
"2019년 11월 29일","154.55","151.07","157.27","150.64","10.49M","2.30%"
"2019년 11월 28일","151.07","152.71","154.68","149.71","9.66M","-1.07%"
"2019년 11월 27일","152.70","147.60","155.43","141.91","13.34M","3.44%"
"2019년 11월 26일","147.61","145.88","149.81","144.04","10.84M","1.17%"
"2019년 11월 25일","145.90","140.58","151.26","131.78","17.98M","3.72%"
"2019년 11월 24일","140.66","152.46","153.24","139.79","11.39M","-7.74%"
"2019년 11월 23일","152.46","149.79","154.25","146.60","11.84M","1.77%"
"2019년 11월 22일","149.80","161.46","163.06","139.13","21.12M","-7.22%"
"2019년 11월 21일","161.46","174.96","175.91","158.55","13.36M","-7.71%"
"2019년 11월 20일","174.96","176.09","177.42","173.99","8.39M","-0.64%"
"2019년 11월 19일","176.09","178.49","178.70","173.48","9.11M","-1.35%"
"2019년 11월 18일","178.50","184.19","184.33","176.08","9.57M","-3.09%"
"2019년 11월 17일","184.18","182.39","185.97","180.49","8.57M","0.97%"
"2019년 11월 16일","182.42","180.19","183.46","179.53","7.62M","1.24%"
"2019년 11월 15일","180.19","185.24","186.10","178.29","11.86M","-2.73%"
"2019년 11월 14일","185.25","188.36","188.91","183.96","9.57M","-1.65%"
"2019년 11월 13일","188.36","187.00","189.45","185.70","7.77M","0.73%"
"2019년 11월 12일","186.99","185.09","187.44","183.24","9.35M","1.03%"
"2019년 11월 11일","185.09","188.98","190.17","184.32","10.26M","-2.06%"
"2019년 11월 10일","188.99","184.96","191.28","183.55","10.95M","2.18%"
"2019년 11월 09일","184.96","184.02","185.73","182.86","8.31M","0.50%"
"2019년 11월 08일","184.03","186.95","188.35","181.83","11.71M","-1.56%"
"2019년 11월 07일","186.94","191.28","192.27","185.48","11.49M","-2.27%"
"2019년 11월 06일","191.28","188.66","194.11","188.13","11.72M","1.38%"
"2019년 11월 05일","188.67","185.86","191.45","183.12","11.78M","1.51%"
"2019년 11월 04일","185.85","181.72","188.27","180.69","11.89M","2.29%"
"2019년 11월 03일","181.70","183.01","184.51","179.46","10.41M","-0.72%"
"2019년 11월 02일","183.01","183.12","185.18","181.94","8.71M","-0.06%"
"2019년 11월 01일","183.12","182.38","184.28","178.69","10.78M","0.41%"
"2019년 10월 31일","182.37","183.25","185.21","178.24","12.94M","-0.48%"
"2019년 10월 30일","183.25","190.44","191.58","180.58","13.67M","-3.78%"
"2019년 10월 29일","190.45","181.67","192.28","181.67","14.03M","4.83%"
"2019년 10월 28일","181.67","184.06","188.91","180.70","12.75M","-1.29%"
"2019년 10월 27일","184.05","179.61","188.33","176.47","14.54M","2.46%"
"2019년 10월 26일","179.62","181.50","192.54","174.35","19.63M","-1.03%"
"2019년 10월 25일","181.49","160.73","186.24","160.41","16.19M","12.92%"
"2019년 10월 24일","160.73","162.26","163.68","159.40","11.36M","-0.95%"
"2019년 10월 23일","162.28","171.44","171.61","154.42","16.00M","-5.34%"
"2019년 10월 22일","171.42","174.17","175.08","170.82","9.86M","-1.58%"
"2019년 10월 21일","174.18","175.14","177.67","171.91","9.24M","-0.55%"
"2019년 10월 20일","175.14","171.93","176.17","169.56","10.10M","1.88%"
"2019년 10월 19일","171.91","172.79","174.81","170.38","9.89M","-0.52%"
"2019년 10월 18일","172.81","177.31","177.47","169.28","11.27M","-2.54%"
"2019년 10월 17일","177.31","174.52","178.33","172.12","9.45M","1.59%"
"2019년 10월 16일","174.53","180.57","181.08","172.49","12.28M","-3.36%"
"2019년 10월 15일","180.59","186.64","187.67","178.26","11.45M","-3.23%"
"2019년 10월 14일","186.63","181.07","186.99","180.65","9.91M","3.05%"
"2019년 10월 13일","181.11","179.86","184.42","178.89","8.22M","0.69%"
"2019년 10월 12일","179.87","180.60","184.49","178.78","9.85M","-0.40%"
"2019년 10월 11일","180.60","191.11","195.87","179.76","13.31M","-5.49%"
"2019년 10월 10일","191.10","192.65","194.08","187.33","10.42M","-0.80%"
"2019년 10월 09일","192.64","180.74","195.08","179.39","12.43M","6.56%"
"2019년 10월 08일","180.78","179.81","184.57","177.74","10.26M","0.51%"
"2019년 10월 07일","179.87","170.52","182.03","169.13","10.95M","5.46%"
"2019년 10월 06일","170.55","176.44","176.87","168.74","7.97M","-3.33%"
"2019년 10월 05일","176.43","175.65","176.63","172.39","7.30M","0.44%"
"2019년 10월 04일","175.65","174.58","178.43","171.33","8.44M","0.64%"
"2019년 10월 03일","174.54","180.26","180.57","170.65","8.89M","-3.18%"
"2019년 10월 02일","180.27","175.78","180.84","173.97","8.47M","2.56%"
"2019년 10월 01일","175.78","180.36","184.95","174.03","11.88M","-2.54%"
"2019년 09월 30일","180.35","169.28","180.52","165.59","11.93M","6.53%"
"2019년 09월 29일","169.29","173.62","174.43","164.97","9.90M","-2.49%"
"2019년 09월 28일","173.62","173.19","175.15","168.56","10.22M","0.25%"
"2019년 09월 27일","173.19","164.58","175.65","161.32","10.94M","5.24%"
"2019년 09월 26일","164.56","168.93","169.81","153.17","11.97M","-2.58%"
"2019년 09월 25일","168.92","166.29","174.26","162.12","13.88M","1.58%"
"2019년 09월 24일","166.29","201.22","202.97","164.78","19.02M","-17.34%"
"2019년 09월 23일","201.18","211.16","211.76","199.82","9.65M","-4.71%"
"2019년 09월 22일","211.13","215.23","215.64","206.71","9.72M","-1.90%"
"2019년 09월 21일","215.22","218.01","221.17","213.71","8.69M","-1.28%"
"2019년 09월 20일","218.00","220.22","221.27","213.12","9.10M","-1.00%"
"2019년 09월 19일","220.21","210.44","223.35","202.95","12.42M","4.65%"
"2019년 09월 18일","210.43","207.80","216.89","207.69","9.78M","1.28%"
"2019년 09월 17일","207.77","197.33","214.45","195.95","11.69M","5.29%"
"2019년 09월 16일","197.32","189.10","198.82","188.68","10.01M","4.35%"
"2019년 09월 15일","189.10","188.17","190.23","185.92","7.30M","0.50%"
"2019년 09월 14일","188.16","181.06","188.54","180.09","8.63M","3.89%"
"2019년 09월 13일","181.11","180.87","181.53","177.79","7.68M","0.13%"
"2019년 09월 12일","180.87","178.48","182.37","176.85","7.19M","1.35%"
"2019년 09월 11일","178.47","180.05","182.27","174.86","10.66M","-0.88%"
"2019년 09월 10일","180.05","180.64","184.16","177.44","8.27M","-0.33%"
"2019년 09월 09일","180.65","181.45","184.76","176.25","9.64M","-0.44%"
"2019년 09월 08일","181.44","177.76","183.42","177.36","8.34M","2.08%"
"2019년 09월 07일","177.74","169.14","180.63","168.42","9.05M","5.08%"
"2019년 09월 06일","169.15","173.82","177.79","166.16","9.98M","-2.70%"
"2019년 09월 05일","173.83","174.80","175.56","170.54","7.40M","-0.55%"
"2019년 09월 04일","174.79","178.82","180.06","173.85","7.55M","-2.25%"
"2019년 09월 03일","178.81","178.10","182.59","175.37","9.03M","0.39%"
"2019년 09월 02일","178.11","169.72","180.56","169.45","9.27M","4.94%"
"2019년 09월 01일","169.72","171.62","173.22","167.08","7.80M","-1.11%"
"2019년 08월 31일","171.62","168.14","174.43","166.16","7.89M","2.06%"
"2019년 08월 30일","168.16","168.68","170.27","165.38","7.49M","-0.29%"
"2019년 08월 29일","168.66","172.85","173.05","164.04","9.55M","-2.43%"
"2019년 08월 28일","172.85","186.60","187.13","167.57","9.72M","-7.36%"
"2019년 08월 27일","186.58","188.36","188.61","184.26","7.19M","-0.93%"
"2019년 08월 26일","188.34","186.32","193.09","186.02","9.02M","1.09%"
"2019년 08월 25일","186.30","190.16","191.49","182.81","7.58M","-2.02%"
"2019년 08월 24일","190.15","193.42","193.47","186.13","8.38M","-1.70%"
"2019년 08월 23일","193.43","190.29","195.32","175.80","8.56M","1.65%"
"2019년 08월 22일","190.29","187.27","194.42","182.97","9.97M","1.63%"
"2019년 08월 21일","187.24","196.15","196.78","181.29","12.98M","-4.54%"
"2019년 08월 20일","196.14","201.65","201.96","194.55","10.01M","-2.73%"
"2019년 08월 19일","201.64","193.67","202.81","192.33","8.14M","4.11%"
"2019년 08월 18일","193.68","184.83","197.17","182.96","9.11M","4.80%"
"2019년 08월 17일","184.81","184.55","186.12","181.58","8.78M","0.14%"
"2019년 08월 16일","184.55","187.67","188.03","179.35","11.33M","-1.73%"
"2019년 08월 15일","187.80","186.59","189.30","176.08","14.03M","0.66%"
"2019년 08월 14일","186.56","207.68","209.43","183.74","12.46M","-10.17%"
"2019년 08월 13일","207.68","210.48","211.01","106.01","18.29M","-1.32%"
"2019년 08월 12일","210.45","215.84","215.97","209.49","7.94M","-2.49%"
"2019년 08월 11일","215.83","205.92","216.23","205.64","7.63M","4.81%"
"2019년 08월 10일","205.93","209.46","213.53","202.35","8.70M","-1.70%"
"2019년 08월 09일","209.49","220.12","220.49","206.40","9.66M","-4.84%"
"2019년 08월 08일","220.16","224.68","226.11","215.57","7.54M","-2.00%"
"2019년 08월 07일","224.66","225.62","229.22","220.62","7.90M","-0.43%"
"2019년 08월 06일","225.63","232.45","237.47","222.46","9.35M","-2.93%"
"2019년 08월 05일","232.45","220.76","235.00","220.75","9.79M","5.31%"
"2019년 08월 04일","220.72","220.89","222.21","216.31","6.51M","-0.08%"
"2019년 08월 03일","220.89","216.52","223.00","215.52","6.99M","2.01%"
"2019년 08월 02일","216.54","216.37","220.84","213.93","7.56M","0.08%"
"2019년 08월 01일","216.37","217.23","217.55","211.23","7.09M","-0.40%"
"2019년 07월 31일","217.23","208.49","218.19","208.17","7.51M","4.19%"
"2019년 07월 30일","208.49","209.81","212.88","204.54","7.15M","-0.63%"
"2019년 07월 29일","209.82","210.39","214.45","207.37","7.20M","-0.26%"
"2019년 07월 28일","210.37","206.64","212.01","199.68","7.54M","1.81%"
"2019년 07월 27일","206.62","217.80","222.70","203.50","8.55M","-5.15%"
"2019년 07월 26일","217.83","217.65","218.65","212.07","6.96M","0.09%"
"2019년 07월 25일","217.65","215.45","224.05","214.79","8.42M","1.02%"
"2019년 07월 24일","215.44","211.86","217.02","202.30","9.72M","1.69%"
"2019년 07월 23일","211.87","217.27","218.03","208.31","8.70M","-2.49%"
"2019년 07월 22일","217.27","225.03","227.47","212.46","8.60M","-3.44%"
"2019년 07월 21일","225.01","227.83","228.76","217.72","8.50M","-1.25%"
"2019년 07월 20일","227.86","220.11","233.70","219.80","9.12M","3.53%"
"2019년 07월 19일","220.09","225.23","225.68","213.57","9.38M","-2.28%"
"2019년 07월 18일","225.23","210.95","228.42","206.47","12.65M","6.77%"
"2019년 07월 17일","210.95","198.88","219.13","192.91","13.51M","6.07%"
"2019년 07월 16일","198.87","228.49","234.41","193.48","14.52M","-12.96%"
"2019년 07월 15일","228.49","226.56","235.43","204.39","14.59M","0.82%"
"2019년 07월 14일","226.62","269.12","269.62","223.95","11.86M","-15.80%"
"2019년 07월 13일","269.16","274.68","275.04","262.85","7.84M","-2.01%"
"2019년 07월 12일","274.68","268.72","278.33","266.81","7.95M","2.22%"
"2019년 07월 11일","268.72","289.13","289.14","263.08","11.36M","-7.05%"
"2019년 07월 10일","289.10","307.44","313.81","281.53","12.44M","-5.96%"
"2019년 07월 09일","307.41","312.23","317.94","303.38","9.13M","-1.54%"
"2019년 07월 08일","312.23","304.87","313.15","301.60","8.50M","2.41%"
"2019년 07월 07일","304.88","288.11","309.42","285.28","8.43M","5.83%"
"2019년 07월 06일","288.08","287.16","296.06","285.61","7.56M","0.32%"
"2019년 07월 05일","287.15","283.36","293.61","281.92","7.80M","1.31%"
"2019년 07월 04일","283.43","300.51","301.56","281.18","7.26M","-5.70%"
"2019년 07월 03일","300.58","291.48","301.64","289.39","7.90M","3.14%"
"2019년 07월 02일","291.41","294.87","297.00","273.07","10.30M","-1.16%"
"2019년 07월 01일","294.83","292.23","303.00","280.35","9.57M","0.90%"
"2019년 06월 30일","292.21","318.26","323.21","290.78","9.82M","-8.25%"
"2019년 06월 29일","318.48","310.52","324.13","295.44","9.03M","2.55%"
"2019년 06월 28일","310.56","297.73","312.70","295.30","9.93M","4.37%"
"2019년 06월 27일","297.55","338.54","345.83","279.82","16.13M","-12.11%"
"2019년 06월 26일","338.54","317.65","364.89","315.99","15.73M","6.58%"
"2019년 06월 25일","317.65","311.47","318.49","307.75","8.51M","1.99%"
"2019년 06월 24일","311.46","308.51","313.67","297.90","7.10M","0.95%"
"2019년 06월 23일","308.53","310.39","320.79","306.12","8.49M","-0.59%"
"2019년 06월 22일","310.38","294.69","314.00","292.09","10.69M","5.31%"
"2019년 06월 21일","294.72","271.45","295.72","271.45","11.06M","8.58%"
"2019년 06월 20일","271.43","268.26","273.18","264.83","7.04M","1.18%"
"2019년 06월 19일","268.26","264.59","269.79","263.61","6.23M","1.39%"
"2019년 06월 18일","264.59","273.02","273.26","261.76","7.39M","-3.08%"
"2019년 06월 17일","273.00","268.00","274.14","266.96","7.41M","1.87%"
"2019년 06월 16일","267.98","267.74","282.75","263.96","8.66M","0.09%"
"2019년 06월 15일","267.75","262.53","271.61","260.92","6.52M","1.99%"
"2019년 06월 14일","262.53","254.89","268.81","252.01","6.87M","3.01%"
"2019년 06월 13일","254.86","261.38","262.47","254.02","7.30M","-2.55%"
"2019년 06월 12일","261.54","244.38","261.67","242.57","7.89M","7.01%"
"2019년 06월 11일","244.41","246.85","247.77","237.60","6.92M","-0.99%"
"2019년 06월 10일","246.86","231.21","246.99","227.38","8.39M","6.74%"
"2019년 06월 09일","231.27","243.43","244.36","227.00","7.80M","-4.99%"
"2019년 06월 08일","243.42","248.98","250.51","241.09","6.23M","-2.23%"
"2019년 06월 07일","248.98","248.63","253.12","244.33","7.41M","0.18%"
"2019년 06월 06일","248.54","245.81","250.00","236.40","7.72M","1.10%"
"2019년 06월 05일","245.83","241.27","248.24","237.94","8.64M","1.89%"
"2019년 06월 04일","241.26","250.26","251.47","235.35","11.39M","-3.64%"
"2019년 06월 03일","250.37","269.03","269.77","248.77","9.23M","-6.93%"
"2019년 06월 02일","269.01","264.26","272.64","263.59","7.31M","1.78%"
"2019년 06월 01일","264.31","267.94","274.94","261.14","9.06M","-1.37%"
"2019년 05월 31일","267.99","254.57","268.70","246.61","11.63M","5.29%"
"2019년 05월 30일","254.52","268.62","287.99","241.51","15.52M","-5.24%"
"2019년 05월 29일","268.61","271.16","273.72","260.85","22.33M","-0.95%"
"2019년 05월 28일","271.18","270.97","275.39","265.50","9.35M","0.08%"
"2019년 05월 27일","270.98","264.66","279.07","262.96","11.58M","2.38%"
"2019년 05월 26일","264.68","250.69","268.75","245.92","10.06M","5.59%"
"2019년 05월 25일","250.68","249.20","256.90","247.90","8.58M","0.61%"
"2019년 05월 24일","249.17","244.68","254.22","241.74","10.07M","1.83%"
"2019년 05월 23일","244.68","244.35","247.30","231.89","13.07M","0.14%"
"2019년 05월 22일","244.34","253.70","259.70","241.68","10.83M","-3.71%"
"2019년 05월 21일","253.76","250.72","261.59","246.85","10.24M","1.21%"
"2019년 05월 20일","250.72","259.68","259.68","238.64","12.38M","-3.43%"
"2019년 05월 19일","259.63","233.87","263.05","232.85","14.38M","11.01%"
"2019년 05월 18일","233.89","244.38","247.84","232.13","13.93M","-4.32%"
"2019년 05월 17일","244.45","264.68","267.80","224.62","22.54M","-7.65%"
"2019년 05월 16일","264.69","248.14","278.52","244.27","25.14M","6.66%"
"2019년 05월 15일","248.15","217.34","249.78","217.32","18.66M","14.13%"
"2019년 05월 14일","217.42","196.00","220.02","195.22","16.80M","10.92%"
"2019년 05월 13일","196.02","188.09","206.10","185.69","14.80M","4.22%"
"2019년 05월 12일","188.07","192.17","202.93","182.81","18.52M","-2.18%"
"2019년 05월 11일","192.27","172.78","204.72","172.75","20.90M","11.28%"
"2019년 05월 10일","172.77","170.85","175.78","168.86","12.73M","1.13%"
"2019년 05월 09일","170.84","170.76","173.28","167.03","10.03M","0.04%"
"2019년 05월 08일","170.77","169.34","172.68","165.70","9.75M","0.84%"
"2019년 05월 07일","169.34","172.99","181.39","169.06","15.23M","-2.11%"
"2019년 05월 06일","173.00","163.03","176.98","159.66","12.97M","6.11%"
"2019년 05월 05일","163.03","163.67","165.25","159.56","8.54M","-0.39%"
"2019년 05월 04일","163.68","167.87","171.04","160.36","10.23M","-2.49%"
"2019년 05월 03일","167.86","161.66","169.80","160.86","10.23M","3.83%"
"2019년 05월 02일","161.66","160.35","162.88","159.22","8.13M","0.80%"
"2019년 05월 01일","160.38","161.84","163.70","158.85","7.74M","-0.88%"
"2019년 04월 30일","161.80","154.94","162.56","154.94","9.57M","4.44%"
"2019년 04월 29일","154.93","158.30","159.16","152.60","10.69M","-2.11%"
"2019년 04월 28일","158.27","159.43","160.28","157.54","8.28M","-0.71%"
"2019년 04월 27일","159.41","157.96","161.95","156.74","8.51M","0.91%"
"2019년 04월 26일","157.97","155.16","161.82","152.32","11.52M","1.80%"
"2019년 04월 25일","155.18","165.23","165.81","151.73","10.78M","-6.07%"
"2019년 04월 24일","165.22","169.94","170.53","154.87","11.61M","-2.78%"
"2019년 04월 23일","169.95","170.87","175.92","169.01","10.17M","-0.54%"
"2019년 04월 22일","170.87","168.50","172.32","167.07","8.62M","1.39%"
"2019년 04월 21일","168.52","172.89","173.42","164.81","8.78M","-2.43%"
"2019년 04월 20일","172.73","172.79","176.71","170.17","8.19M","-0.04%"
"2019년 04월 19일","172.79","173.34","173.41","169.15","9.26M","-0.31%"
"2019년 04월 18일","173.33","165.91","175.02","165.38","10.16M","4.48%"
"2019년 04월 17일","165.90","165.61","167.21","164.26","7.56M","0.16%"
"2019년 04월 16일","165.65","160.16","166.64","159.52","7.66M","3.42%"
"2019년 04월 15일","160.17","167.30","168.63","153.65","7.71M","-4.25%"
"2019년 04월 14일","167.29","163.19","168.18","161.52","5.89M","2.51%"
"2019년 04월 13일","163.19","163.46","165.27","161.34","5.52M","-0.17%"
"2019년 04월 12일","163.47","164.37","166.08","158.93","7.12M","-0.54%"
"2019년 04월 11일","164.36","177.39","177.63","159.60","11.11M","-7.33%"
"2019년 04월 10일","177.37","175.09","183.49","171.61","12.10M","1.30%"
"2019년 04월 09일","175.09","179.16","179.24","172.15","10.82M","-2.27%"
"2019년 04월 08일","179.16","174.32","185.54","171.87","14.83M","2.77%"
"2019년 04월 07일","174.33","165.58","175.37","164.17","9.88M","5.30%"
"2019년 04월 06일","165.55","164.93","172.53","160.22","10.37M","0.37%"
"2019년 04월 05일","164.93","157.43","167.34","156.42","10.06M","4.77%"
"2019년 04월 04일","157.43","160.34","164.33","153.26","13.55M","-1.81%"
"2019년 04월 03일","160.34","163.47","177.29","152.24","47.66M","-1.92%"
"2019년 04월 02일","163.47","141.50","165.42","141.29","36.03M","15.53%"
"2019년 04월 01일","141.50","141.77","143.28","140.26","11.85M","-0.20%"
"2019년 03월 31일","141.79","142.65","142.69","140.71","9.33M","-0.60%"
"2019년 03월 30일","142.65","143.38","145.85","140.43","12.81M","-0.51%"
"2019년 03월 29일","143.38","138.17","143.53","138.13","12.09M","3.79%"
"2019년 03월 28일","138.15","139.63","140.33","137.68","9.52M","-1.08%"
"2019년 03월 27일","139.65","134.37","140.08","133.89","15.47M","3.93%"
"2019년 03월 26일","134.37","134.25","134.99","132.61","9.47M","0.08%"
"2019년 03월 25일","134.25","136.44","137.05","132.36","11.49M","-1.60%"
"2019년 03월 24일","136.44","137.53","137.53","135.50","9.66M","-0.79%"
"2019년 03월 23일","137.53","136.42","138.30","135.76","9.16M","0.81%"
"2019년 03월 22일","136.42","135.11","137.44","134.65","10.18M","0.97%"
"2019년 03월 21일","135.11","139.32","139.74","133.05","12.95M","-3.02%"
"2019년 03월 20일","139.31","138.72","139.75","136.56","10.46M","0.42%"
"2019년 03월 19일","138.72","137.92","139.50","137.10","10.84M","0.58%"
"2019년 03월 18일","137.92","138.91","141.87","136.86","12.87M","-0.71%"
"2019년 03월 17일","138.91","141.15","141.17","137.61","9.79M","-1.59%"
"2019년 03월 16일","141.15","136.77","143.95","136.75","16.89M","3.21%"
"2019년 03월 15일","136.75","132.44","137.68","132.44","12.55M","3.25%"
"2019년 03월 14일","132.45","131.97","134.82","130.48","9.79M","0.36%"
"2019년 03월 13일","131.97","133.81","133.84","131.20","9.59M","-1.37%"
"2019년 03월 12일","133.80","132.99","134.93","129.14","13.03M","0.61%"
"2019년 03월 11일","132.99","135.72","136.23","131.66","11.17M","-2.01%"
"2019년 03월 10일","135.72","137.52","137.75","134.53","9.21M","-1.31%"
"2019년 03월 09일","137.52","133.84","138.57","133.38","10.79M","2.74%"
"2019년 03월 08일","133.85","136.93","139.45","131.66","12.38M","-2.25%"
"2019년 03월 07일","136.93","137.62","139.98","135.72","13.29M","-0.50%"
"2019년 03월 06일","137.62","136.82","149.49","133.94","14.70M","0.58%"
"2019년 03월 05일","136.82","125.97","141.11","125.44","16.74M","8.61%"
"2019년 03월 04일","125.97","131.02","131.57","123.25","14.11M","-3.85%"
"2019년 03월 03일","131.01","132.77","168.42","129.05","10.64M","-1.32%"
"2019년 03월 02일","132.76","135.72","136.36","130.74","11.29M","-2.18%"
"2019년 03월 01일","135.72","135.47","138.06","128.46","9.73M","0.18%"
"2019년 02월 28일","135.47","135.20","138.56","133.09","16.08M","0.20%"
"2019년 02월 27일","135.20","136.66","159.60","128.15","16.11M","-1.08%"
"2019년 02월 26일","136.67","138.26","138.66","134.48","11.75M","-1.15%"
"2019년 02월 25일","138.27","132.94","141.57","132.85","10.55M","4.02%"
"2019년 02월 24일","132.93","158.31","165.79","132.87","14.30M","-16.03%"
"2019년 02월 23일","158.30","147.97","159.31","146.28","8.31M","6.99%"
"2019년 02월 22일","147.97","145.79","148.83","144.27","6.79M","1.50%"
"2019년 02월 21일","145.78","149.01","149.55","143.50","7.21M","-2.23%"
"2019년 02월 20일","149.11","144.02","149.46","140.88","8.61M","3.54%"
"2019년 02월 19일","144.01","145.79","149.84","143.80","9.90M","-1.22%"
"2019년 02월 18일","145.80","133.79","147.64","125.07","11.93M","8.98%"
"2019년 02월 17일","133.79","122.88","135.27","122.78","8.67M","8.89%"
"2019년 02월 16일","122.87","121.72","124.50","121.71","5.33M","0.94%"
"2019년 02월 15일","121.73","120.97","124.00","120.87","5.69M","0.63%"
"2019년 02월 14일","120.97","122.21","124.46","120.44","5.81M","-1.02%"
"2019년 02월 13일","122.22","122.66","126.17","121.06","6.17M","-0.35%"
"2019년 02월 12일","122.64","121.32","123.99","119.28","5.74M","1.10%"
"2019년 02월 11일","121.30","124.94","125.05","119.55","6.13M","-2.89%"
"2019년 02월 10일","124.92","119.44","125.46","116.42","6.32M","4.59%"
"2019년 02월 09일","119.44","119.27","121.09","117.96","5.21M","0.17%"
"2019년 02월 08일","119.23","104.55","122.58","103.89","9.19M","14.05%"
"2019년 02월 07일","104.55","104.63","106.12","104.29","5.05M","-0.08%"
"2019년 02월 06일","104.63","107.37","107.67","102.28","6.15M","-2.55%"
"2019년 02월 05일","107.37","107.91","108.32","106.60","4.67M","-0.50%"
"2019년 02월 04일","107.90","107.63","109.24","106.95","5.02M","0.27%"
"2019년 02월 03일","107.62","110.67","111.25","106.36","5.01M","-2.77%"
"2019년 02월 02일","110.68","106.99","111.16","106.29","4.23M","3.46%"
"2019년 02월 01일","106.98","106.74","108.54","104.41","4.98M","0.26%"
"2019년 01월 31일","106.71","108.51","110.56","105.86","5.11M","-1.66%"
"2019년 01월 30일","108.52","104.76","109.67","103.82","5.95M","3.55%"
"2019년 01월 29일","104.79","105.82","107.32","102.89","5.41M","-0.98%"
"2019년 01월 28일","105.82","112.50","113.14","101.60","7.45M","-5.94%"
"2019년 01월 27일","112.50","115.83","116.24","112.03","4.65M","-2.88%"
"2019년 01월 26일","115.83","115.50","117.63","115.37","3.48M","0.29%"
"2019년 01월 25일","115.50","116.70","117.41","115.03","4.75M","-1.03%"
"2019년 01월 24일","116.71","116.84","117.32","114.93","4.38M","-0.11%"
"2019년 01월 23일","116.84","118.23","119.01","115.52","4.35M","-1.18%"
"2019년 01월 22일","118.23","116.05","119.47","112.36","5.11M","1.88%"
"2019년 01월 21일","116.05","117.52","118.04","114.15","4.80M","-1.25%"
"2019년 01월 20일","117.52","123.00","123.52","116.25","3.93M","-4.47%"
"2019년 01월 19일","123.02","119.34","125.37","119.34","3.36M","3.09%"
"2019년 01월 18일","119.34","122.02","122.19","118.27","2.59M","-2.20%"
"2019년 01월 17일","122.03","121.71","123.03","117.51","3.61M","0.25%"
"2019년 01월 16일","121.72","119.59","126.50","119.10","3.83M","1.75%"
"2019년 01월 15일","119.62","127.55","129.60","116.90","4.31M","-6.20%"
"2019년 01월 14일","127.53","114.65","130.30","114.62","3.86M","11.24%"
"2019년 01월 13일","114.64","123.75","124.09","112.79","2.98M","-7.36%"
"2019년 01월 12일","123.75","125.15","126.15","122.73","2.21M","-1.11%"
"2019년 01월 11일","125.15","125.61","127.83","121.28","3.77M","-0.39%"
"2019년 01월 10일","125.63","148.78","150.09","121.98","6.48M","-15.56%"
"2019년 01월 09일","148.79","148.41","152.57","147.95","2.34M","0.26%"
"2019년 01월 08일","148.41","149.96","152.21","146.29","3.04M","-1.03%"
"2019년 01월 07일","149.96","154.96","156.36","148.47","2.88M","-3.23%"
"2019년 01월 06일","154.96","153.48","158.29","148.63","4.23M","0.96%"
"2019년 01월 05일","153.49","152.87","159.78","152.84","4.85M","0.41%"
"2019년 01월 04일","152.86","146.94","155.40","145.29","4.92M","4.03%"
"2019년 01월 03일","146.94","152.96","154.30","144.39","4.02M","-3.93%"
"2019년 01월 02일","152.95","139.58","155.93","138.74","5.51M","9.56%"
"2019년 01월 01일","139.61","131.90","140.51","130.67","3.05M","5.84%"
"2018년 12월 31일","131.90","138.45","138.72","129.61","3.23M","-4.73%"
"2018년 12월 30일","138.45","133.64","139.76","129.51","4.35M","3.57%"
"2018년 12월 29일","133.67","136.59","146.02","130.71","5.92M","-2.15%"
"2018년 12월 28일","136.61","114.57","137.22","113.14","5.94M","19.25%"
"2018년 12월 27일","114.56","130.06","131.51","112.59","4.83M","-11.92%"
"2018년 12월 26일","130.06","128.39","136.13","123.39","5.11M","1.30%"
"2018년 12월 25일","128.39","139.06","139.74","122.14","7.04M","-7.79%"
"2018년 12월 24일","139.23","129.60","158.27","129.48","9.39M","7.43%"
"2018년 12월 23일","129.60","115.85","132.46","115.79","6.66M","11.88%"
"2018년 12월 22일","115.84","108.18","115.87","105.97","3.30M","7.07%"
"2018년 12월 21일","108.18","114.60","118.67","105.59","5.18M","-5.61%"
"2018년 12월 20일","114.61","99.36","116.35","98.63","6.34M","15.35%"
"2018년 12월 19일","99.37","100.68","107.89","98.57","5.58M","-1.28%"
"2018년 12월 18일","100.66","94.37","101.33","91.96","4.66M","6.66%"
"2018년 12월 17일","94.37","84.72","96.99","84.61","5.37M","11.40%"
"2018년 12월 16일","84.72","83.90","87.62","83.89","3.61M","0.97%"
